date,revenue,purchases,salaries,rent,other_expenses
2021-05-02,34000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-03,35000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-04,15000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-05,33000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-06,43000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-07,25000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-08,45000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-09,46000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-10,90000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-11,190000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-12,40000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-13,44032.25806451613,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-14,44032.25806451613,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-15,44032.25806451613,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-16,44032.25806451613,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-17,15000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-18,32000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-19,55000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-20,35000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-21,12000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-22,23000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-23,14000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-24,19000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-25,21000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-26,31000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-27,28000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-28,27000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-29,18000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-30,12000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-05-31,12000.0,21935.483870967742,0.0,1612.9032258064517,0.0
2021-06-01,27000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-02,18000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-03,36000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-04,28000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-05,34000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-06,37000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-07,28000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-08,31000.0,0.0,10151.233333333334,1666.6666666666667,0.0
