date,revenue,purchases,salaries,rent,other_expenses
2024-09-22,38000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-23,146000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-24,38000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-25,48000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-26,51000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-27,39000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-28,34000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-29,462000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-30,53000.0,0.0,17133.333333333332,5000.0,0.0
2024-10-01,111000.0,0.0,30701.109677419354,9677.41935483871,0.0
2024-10-02,55000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-03,78000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-04,93000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-05,40000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-06,1000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-07,39000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-08,32000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-09,33000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-10,51000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-11,76000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-12,129000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-13,93000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-14,107000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-15,129000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-16,37000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-17,54000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-18,23000.0,0.0,14120.464516129032,4838.709677419355,0.0
2024-10-19,54000.0,0.0,14120.464516129032,4838.709677419355,0.0
