date,revenue,purchases,salaries,rent,other_expenses
2020-01-22,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-23,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-24,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-25,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-26,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-27,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-28,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-29,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-30,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-31,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-02-01,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-02,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-03,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-04,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-05,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-06,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-07,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-08,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-09,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-10,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-11,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-12,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-13,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-14,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-15,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-16,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-17,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-18,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-19,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-20,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-21,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-22,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-23,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-24,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-25,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-26,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-27,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-28,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-02-29,17965.51724137931,0.0,0.0,1551.7241379310344,0.0
2020-03-01,20000.0,0.0,0.0,0.0,0.0
2020-03-02,20000.0,0.0,0.0,0.0,0.0
2020-03-03,15000.0,0.0,0.0,0.0,0.0
2020-03-04,23000.0,0.0,0.0,0.0,0.0
2020-03-05,25000.0,0.0,0.0,0.0,0.0
2020-03-07,20000.0,0.0,0.0,0.0,0.0
2020-03-08,19000.0,0.0,0.0,0.0,0.0
2020-03-09,19000.0,0.0,0.0,0.0,0.0
2020-03-10,20000.0,0.0,0.0,0.0,0.0
2020-03-11,19000.0,0.0,0.0,0.0,0.0
2020-03-12,23000.0,0.0,0.0,0.0,0.0
2020-03-14,19000.0,0.0,0.0,0.0,0.0
2020-03-15,17000.0,0.0,0.0,0.0,0.0
2020-03-16,17000.0,0.0,0.0,0.0,0.0
2020-03-17,14000.0,0.0,0.0,0.0,0.0
2020-03-18,10000.0,0.0,0.0,0.0,0.0
2020-03-19,13000.0,0.0,0.0,0.0,0.0
2020-03-21,14000.0,0.0,0.0,0.0,0.0
2020-04-27,7500.0,0.0,0.0,1500.0,0.0
2020-04-28,8000.0,0.0,0.0,1500.0,0.0
2020-04-29,12000.0,0.0,0.0,1500.0,0.0
2020-04-30,8000.0,0.0,0.0,1500.0,0.0
2020-05-01,0.0,0.0,0.0,1451.6129032258063,0.0
2020-05-02,14000.0,0.0,0.0,1451.6129032258063,0.0
